Name,Last Name,Firstst Name,Fights,Strikes,Total Strike Accuracy,Take Down,Take Down Accuracy,Knock Down,pass,Reversal,Substitution
"Day, Martin",Day,Martin,2,205,52.40%,2,66.70%,1,1,0,0
"Wood, Nathaniel",Wood,Nathaniel,2,204,61.60%,2,66.70%,1,5,0,2
"Katona, Brad",Katona,Brad,2,203,60.20%,2,20.00%,0,3,0,0
"Arroyo, Matt",Arroyo,Matt,3,201,76.40%,4,36.40%,0,2,0,1
"Magomedov, Ruslan",Magomedov,Ruslan,6,201,50.50%,1,100.00%,1,0,0,0
"Nelson, Shane",Nelson,Shane,4,199,56.90%,4,18.20%,1,4,0,0
"Starnes, Kalib",Starnes,Kalib,5,199,56.70%,5,33.30%,0,4,1,1
"Taktarov, Oleg",Taktarov,Oleg,9,199,71.30%,0,0.00%,0,3,2,5
"Costa, Paulo",Costa,Paulo,4,198,60.40%,0,0.00%,3,0,0,0
"Bernardo, Talita",Bernardo,Talita,3,198,54.80%,6,25.00%,0,9,2,0
"Peterson, Steven",Peterson,Steven,2,197,38.20%,3,18.80%,0,3,1,0
"Kunchenko, Aleksei",Kunchenko,Aleksei,2,197,53.40%,1,50.00%,0,0,0,0
"Alessio, John",Alessio,John,5,195,44.90%,2,18.20%,0,3,1,0
"Golm, Marcelo",Golm,Marcelo,3,195,66.80%,1,50.00%,0,2,0,1
"Freeman, Ian",Freeman,Ian,6,194,67.80%,2,40.00%,0,0,2,0
"Coulter, Rashad",Coulter,Rashad,4,193,57.40%,0,0.00%,1,1,0,0
"Roller, Shane",Roller,Shane,6,192,45.20%,5,21.70%,1,6,2,0
"Carwin, Shane",Carwin,Shane,6,189,54.60%,2,28.60%,4,5,0,0
"Allen, Arnold",Allen,Arnold,6,186,44.50%,8,57.10%,1,7,0,2
"Ledet, Justin",Ledet,Justin,5,186,44.70%,1,50.00%,0,1,0,1
"Dawodu, Hakeem",Dawodu,Hakeem,3,186,47.60%,0,0.00%,0,0,0,0
"Kang, Denis",Kang,Denis,3,184,61.10%,8,66.70%,1,18,0,0
"Clark, Logan",Clark,Logan,1,183,83.60%,0,-,0,4,1,0
"Yadong, Song",Yadong,Song,3,183,50.00%,3,100.00%,2,5,0,1
"Craig, Paul",Craig,Paul,5,182,65.50%,6,30.00%,0,7,1,2
